bank_transaction_id,transaction_date,value_date,amount,currency,direction,bank_description,reference,bank_account
B001,2026-09-01,2026-09-01,12500,INR,CREDIT,NEFT CREDIT ACME INDUSTRIES INV-2001,INV-2001,HDFC-001
B002,2026-09-01,2026-09-01,-4200,INR,DEBIT,UPI PAYMENT CLOUDHOST SEPTEMBER,CLOUDHOST-SEP,HDFC-001
B003,2026-09-02,2026-09-02,8750,INR,CREDIT,IMPS CREDIT NOVA RETAIL INV-2002,INV-2002,HDFC-001
B004,2026-09-03,2026-09-03,-18500,INR,DEBIT,RTGS BRIGHT OFFICE SOLUTIONS INV-BO-305,INV-BO-305,HDFC-001
B005,2026-09-04,2026-09-04,6300,INR,CREDIT,NEFT GREENMART PVT LTD INV-2003,INV-2003,HDFC-001
B006,2026-09-05,2026-09-05,-9500,INR,DEBIT,NEFT AWS INDIA AUGUST BILL,AWS-SEP,HDFC-001
B007,2026-09-06,2026-09-06,15200,INR,CREDIT,BANK TRANSFER ORBITAL TECH INV-2004,INV-2004,HDFC-001
B008,2026-09-07,2026-09-07,-7200,INR,DEBIT,CARD PAYMENT OFFICE DEPOT INDIA,OFFICE-DEPOT-91,HDFC-001
B009,2026-09-08,2026-09-08,4100,INR,CREDIT,UPI CREDIT RIVERSTONE INV-2005,INV-2005,HDFC-001
B010,2026-09-09,2026-09-09,9900,INR,CREDIT,NEFT KAPPA SYSTEMS INV-2006,INV-2006,HDFC-001
B011,2026-09-10,2026-09-10,-3600,INR,DEBIT,UPI PAYMENT ZOHO SEPTEMBER,ZOHO-SEP,HDFC-001
B012,2026-09-11,2026-09-11,11800,INR,CREDIT,NEFT ACME INDUSTRIES INV-2007,INV-2007,HDFC-001
B013,2026-09-12,2026-09-12,-15000,INR,DEBIT,RTGS METRO LOGISTICS BILL-602,METRO-602,HDFC-001
B014,2026-09-13,2026-09-13,-5100,INR,DEBIT,NEFT FRESHWORKS SEPTEMBER,FW-SEP,HDFC-001
B015,2026-09-04,2026-09-04,6300,INR,CREDIT,NEFT GREENMART PVT LTD INV-2003,INV-2003,HDFC-001
B016,2026-09-14,2026-09-14,540,USD,CREDIT,WIRE CREDIT LUMEN LABS INV-2008,INV-2008,HDFC-USD-01
B017,2026-09-15,2026-09-16,7600,INR,CREDIT,NEFT NORTHSTAR MEDIA INV-2009,INV-2009,HDFC-001
B018,2026-09-16,2026-09-16,2750,INR,CREDIT,UPI CREDIT PIXEL PRINTS INV-2010,INV-2010,HDFC-001
B019,2026-09-17,2026-09-17,-6800,INR,DEBIT,NEFT NEXA SOLUTIONS INV-NX-44,INV-NX-44,HDFC-001
B020,2026-09-18,2026-09-18,4800,INR,CREDIT,NEFT UNKNOWN CUSTOMER PAYMENT,UNKNOWN-001,HDFC-001
B021,2026-09-19,2026-09-19,-6100,INR,DEBIT,NEFT PAYMENT VERTEX SUPPLIES,VERTEX-77,HDFC-001
B022,2026-09-20,2026-09-20,7300,INR,CREDIT,UPI CREDIT WALK-IN CUSTOMER,UNKNOWN-002,HDFC-001
B023,2026-09-21,2026-09-21,-4200,INR,DEBIT,NEFT PAYMENT OLD REFERENCE 7781,OLD-7781,HDFC-001
B024,2026-09-22,2026-09-22,-850,INR,DEBIT,BANK CHARGES SEPTEMBER,BANK-FEE-SEP,HDFC-001
B025,2026-09-23,2026-09-23,11200,INR,CREDIT,NEFT SUNRISE TRADERS PAYMENT,SUNRISE-001,HDFC-001
