ledger_id,document_id,document_date,posting_date,counterparty,amount,currency,direction,payment_reference,status
L001,INV-2001,2026-08-20,2026-09-01,Acme Industries,12500,INR,CREDIT,INV-2001,Open
L002,BILL-CLOUD-SEP,2026-09-01,2026-09-01,CloudHost,-4200,INR,DEBIT,CLOUDHOST-SEP,Paid
L003,INV-2002,2026-08-22,2026-09-02,Nova Retail,8750,INR,CREDIT,INV-2002,Open
L004,BILL-BO-305,2026-08-25,2026-09-03,Bright Office Solutions,-18500,INR,DEBIT,INV-BO-305,Paid
L005,INV-2003,2026-08-28,2026-09-04,GreenMart Pvt Ltd,6300,INR,CREDIT,INV-2003,Open
L006,BILL-AWS-SEP,2026-09-01,2026-09-05,AWS India,-9500,INR,DEBIT,AWS-SEP,Paid
L007,INV-2004,2026-08-30,2026-09-06,Orbital Tech,15200,INR,CREDIT,INV-2004,Open
L008,BILL-OFFICE-91,2026-09-01,2026-09-07,Office Depot India,-7200,INR,DEBIT,OFFICE-DEPOT-91,Paid
L009,INV-2005,2026-09-01,2026-09-08,Riverstone,4100,INR,CREDIT,INV-2005,Open
L010,INV-2006,2026-09-02,2026-09-09,Kappa Systems,9900,INR,CREDIT,INV-2006,Open
L011,BILL-ZOHO-SEP,2026-09-01,2026-09-10,Zoho,-3600,INR,DEBIT,ZOHO-SEP,Paid
L012,INV-2007,2026-09-04,2026-09-11,Acme Industries,11800,INR,CREDIT,INV-2007,Open
L013,BILL-METRO-602,2026-09-02,2026-09-12,Metro Logistics,-15000,INR,DEBIT,METRO-602,Paid
L014,BILL-FW-SEP,2026-09-01,2026-09-13,Freshworks,-5100,INR,DEBIT,FW-SEP,Paid
L015,INV-2008,2026-09-01,2026-09-14,Lumen Labs,550,USD,CREDIT,INV-2008,Open
L016,INV-2009,2026-09-05,2026-09-15,Northstar Media,7600,INR,CREDIT,INV-2009,Open
L017,INV-2010,2026-09-06,2026-09-16,Pixel Prints,5000,INR,CREDIT,INV-2010,Partially Paid
L018,BILL-NX-44,2026-09-01,2026-09-17,Nexa Solutions Pvt Ltd,-6800,INR,DEBIT,INV-NX-44,Paid
L019,INV-2011,2026-09-10,2026-09-20,BluePeak Consulting,9200,INR,CREDIT,INV-2011,Open
L020,BILL-SKYNET-SEP,2026-09-05,2026-09-22,Skynet Hosting,-3900,INR,DEBIT,SKYNET-SEP,Paid
L021,INV-2012,2026-09-12,2026-09-24,Delta Foods,6400,INR,CREDIT,INV-2012,Open
L022,BILL-MAPLE-88,2026-09-14,2026-09-25,Maple Services,-2700,INR,DEBIT,MAPLE-88,Paid
